kappa,lambda_reward,condition,seed,method,validation_nll
0.0,0.0,independent_latents,1,V0_random_init_mechanism,-1.263392448425293
0.0,0.0,independent_latents,1,V7_oracle_u_aware,
0.0,0.0,independent_latents,2,pooled_mlp,-1.9354122877120972
0.0,0.0,independent_latents,2,V0_random_init_mechanism,-1.2796515226364136
0.0,0.0,independent_latents,2,V7_oracle_u_aware,
0.0,0.0,independent_latents,3,pooled_mlp,-1.9406143426895142
0.0,0.0,independent_latents,3,V0_random_init_mechanism,-1.3018484115600586
0.0,0.0,independent_latents,3,V7_oracle_u_aware,
0.0,0.0,independent_latents,4,pooled_mlp,-1.9199392795562744
0.0,0.0,independent_latents,4,V0_random_init_mechanism,-1.2708163261413574
0.0,0.0,independent_latents,4,V7_oracle_u_aware,
0.0,0.002,independent_latents,0,public_residual_init_nll_best,-1.546244502067566
0.0,0.002,independent_latents,0,source_shuffle_initialization,-1.2111241817474365
0.0,0.002,independent_latents,0,no_staged_training,-1.6190690994262695
0.0,0.002,independent_latents,1,public_residual_init_nll_best,-1.5686899423599243
0.0,0.002,independent_latents,1,source_shuffle_initialization,-1.2922290563583374
0.0,0.002,independent_latents,1,no_staged_training,-1.5490145683288574
0.0,0.002,independent_latents,2,public_residual_init_nll_best,-1.598658561706543
0.0,0.002,independent_latents,2,source_shuffle_initialization,-1.2644821405410767
0.0,0.002,independent_latents,2,no_staged_training,-1.4532605409622192
0.0,0.002,independent_latents,3,public_residual_init_nll_best,-1.5461426973342896
0.0,0.002,independent_latents,3,source_shuffle_initialization,-1.217043399810791
0.0,0.002,independent_latents,3,no_staged_training,-1.596603274345398
0.0,0.002,independent_latents,4,public_residual_init_nll_best,-1.5875753164291382
0.0,0.002,independent_latents,4,source_shuffle_initialization,-1.2581069469451904
0.0,0.002,independent_latents,4,no_staged_training,-1.5630534887313843
0.0,0.002,independent_latents,-1,public_residual_init_uniform_candidate_ensemble,-1.442292444705963
0.0,0.002,independent_latents,0,public_residual_init_uniform_candidate_ensemble,-1.4378085732460024
0.0,0.002,independent_latents,1,public_residual_init_uniform_candidate_ensemble,-1.5029156327247621
0.0,0.002,independent_latents,2,public_residual_init_uniform_candidate_ensemble,-1.394967567920685
0.0,0.002,independent_latents,3,public_residual_init_uniform_candidate_ensemble,-1.3917050123214723
0.0,0.002,independent_latents,4,public_residual_init_uniform_candidate_ensemble,-1.4840654373168944
0.0,0.002,independent_latents,0,pooled_mlp,-1.898999571800232
0.0,0.002,independent_latents,0,V0_random_init_mechanism,-1.2559744119644165
0.0,0.002,independent_latents,0,V7_oracle_u_aware,
0.0,0.002,independent_latents,1,pooled_mlp,-1.9300947189331055
0.0,0.002,independent_latents,1,V0_random_init_mechanism,-1.2318689823150635
0.0,0.002,independent_latents,1,V7_oracle_u_aware,
0.0,0.002,independent_latents,2,pooled_mlp,-1.9516100883483887
0.0,0.002,independent_latents,2,V0_random_init_mechanism,-1.2926348447799683
0.0,0.002,independent_latents,2,V7_oracle_u_aware,
0.0,0.002,independent_latents,3,pooled_mlp,-1.94415283203125
